run_date,session_date,list,ticker,price,dist_pct,rel_volume
2026-07-01,2026-07-01,Near,NASDAQ:LGND,312.01,2.8,0.63
2026-07-01,2026-07-01,Near,NASDAQ:LIN,533.55,1.0,1.14
2026-07-01,2026-07-01,Near,NASDAQ:LINE,43.59,3.92,0.86
2026-07-01,2026-07-01,Near,NASDAQ:LIVN,82.48,1.79,0.5
2026-07-01,2026-07-01,Near,NASDAQ:LLYVA,103.86,1.09,0.94
2026-07-01,2026-07-01,Near,NASDAQ:LNT,75.79,2.03,0.77
2026-07-01,2026-07-01,Near,NASDAQ:LNTH,108.96,2.59,0.78
2026-07-01,2026-07-01,Near,NASDAQ:LQDA,79.32,1.7,0.4
2026-07-01,2026-07-01,Near,NASDAQ:MBIN,49.76,3.31,0.78
2026-07-01,2026-07-01,Near,NASDAQ:MBX,55.92,4.41,0.93
2026-07-01,2026-07-01,Near,NASDAQ:MCRI,130.09,4.29,0.65
2026-07-01,2026-07-01,Near,NASDAQ:MIDD,171.75,2.66,0.45
2026-07-01,2026-07-01,Near,NASDAQ:MIRM,120.46,3.93,0.67
2026-07-01,2026-07-01,Near,NASDAQ:MNST,97.35,0.97,0.64
2026-07-01,2026-07-01,Near,NASDAQ:MRCY,123.05,3.74,0.71
2026-07-01,2026-07-01,Near,NASDAQ:MRNA,72.5,1.91,0.79
2026-07-01,2026-07-01,Near,NASDAQ:MRX,65.22,3.16,0.84
2026-07-01,2026-07-01,Near,NASDAQ:MTCH,38.25,2.42,0.69
2026-07-01,2026-07-01,Near,NASDAQ:NAVN,24.25,2.16,0.67
2026-07-01,2026-07-01,Near,NASDAQ:NBIX,167.77,2.17,0.7
2026-07-01,2026-07-01,Near,NASDAQ:NBTB,50.25,0.7,0.81
2026-07-01,2026-07-01,Near,NASDAQ:NDSN,295.64,3.93,1.32
2026-07-01,2026-07-01,Near,NASDAQ:NESR,28.8,4.98,0.75
2026-07-01,2026-07-01,Near,NASDAQ:NOVT,163.7,4.74,1.16
2026-07-01,2026-07-01,Near,NASDAQ:NRIX,23.91,3.9,0.36
2026-07-01,2026-07-01,Near,NASDAQ:NTCT,42.95,1.94,0.75
2026-07-01,2026-07-01,Near,NASDAQ:NTRA,276.27,1.13,0.87
